MMSI,TimeOfFix,Latitude,Longitude,SOG,Heading,PortIndex,EEZ
351047000, 2020 Sep 03 23:46:45 UTC, 36.943237, -73.994098, 12.9, 264, 0, USA
351047000, 2020 Sep 03 22:12:41 UTC, 36.941238, -73.56827, 12.9, 268, 0, USA
351047000, 2020 Sep 03 22:05:02 UTC, 36.940168, -73.534128, 12.9, 270, 0, USA
351047000, 2020 Sep 03 20:07:12 UTC, 36.94567, -73.049702, 9.6, 256, 0, USA
351047000, 2020 Sep 03 20:02:44 UTC, 36.946082, -73.0347, 9.6, 256, 0, USA
351047000, 2020 Sep 03 18:35:22 UTC, 36.944632, -72.744147, 9.6, 263, 0, USA
351047000, 2020 Sep 03 18:00:23 UTC, 36.943548, -72.629642, 9.4, 265, 0, USA
351047000, 2020 Sep 03 16:06:53 UTC, 36.944015, -72.260072, 9.5, 267, 0, USA
351047000, 2020 Sep 03 14:01:23 UTC, 36.939535, -71.854488, 9.1, 273, 0, USA
351047000, 2020 Sep 03 12:14:43 UTC, 36.9411, -71.533235, 8.2, 268, 0, USA
351047000, 2020 Sep 03 10:07:02 UTC, 36.958128, -71.165457, 8.3, 259, 0, 
351047000, 2020 Sep 03 08:10:22 UTC, 37.011108, -70.839393, 8.2, 259, 0, 
351047000, 2020 Sep 03 07:11:52 UTC, 37.042588, -70.673825, 8.4, 255, 0, 
351047000, 2020 Sep 03 04:49:43 UTC, 37.112778, -70.243623, 9.1, 258, 0, 
351047000, 2020 Sep 03 04:02:32 UTC, 37.133697, -70.09763, 9, 258, 0, 
351047000, 2020 Sep 03 02:09:23 UTC, 37.195055, -69.752563, 8.8, 256, 0, 
351047000, 2020 Sep 03 00:07:22 UTC, 37.258307, -69.371182, 9.3, 257, 0, 
351047000, 2020 Sep 03 00:07:13 UTC, 37.25838, -69.370642, 9.3, 257, 0, 
351047000, 2020 Sep 02 23:43:23 UTC, 37.268918, -69.295683, 9.3, 255, 0, 
351047000, 2020 Sep 02 21:41:21 UTC, 37.33683, -68.919557, 9.4, 255, 0, 
351047000, 2020 Sep 02 20:49:41 UTC, 37.368083, -68.752457, 9.6, 257, 0, 
351047000, 2020 Sep 02 18:10:32 UTC, 37.447795, -68.213822, 10, 261, 0, 
351047000, 2020 Sep 02 15:17:02 UTC, 37.58834, -67.701583, 8.6, 259, 0, 
351047000, 2020 Sep 02 12:26:23 UTC, 37.701147, -67.1707, 9.7, 258, 0, 
351047000, 2020 Sep 02 11:15:21 UTC, 37.736865, -66.94178, 9.2, 260, 0, 
351047000, 2020 Sep 02 09:43:39 UTC, 37.75561, -66.645748, 9.7, 260, 0, 
351047000, 2020 Sep 02 08:26:41 UTC, 37.76071, -66.38523, 10.4, 260, 0, 
351047000, 2020 Sep 02 06:26:43 UTC, 37.770597, -65.933557, 11.5, 260, 0, 
351047000, 2020 Sep 02 04:38:03 UTC, 37.816783, -65.482833, 11.7, 260, 0, 
351047000, 2020 Sep 02 02:51:53 UTC, 37.860917, -65.041075, 12.2, 260, 0, 
351047000, 2020 Sep 01 21:07:20 UTC, 38.069592, -63.600163, 12, 260, 0, 
351047000, 2020 Sep 01 20:36:30 UTC, 38.09013, -63.475513, 11.6, 260, 0, 
351047000, 2020 Sep 01 15:43:13 UTC, 38.234532, -62.376747, 11.4, 261, 0, 
351047000, 2020 Sep 01 12:13:52 UTC, 38.343817, -61.467673, 12.3, 263, 0, 
351047000, 2020 Sep 01 11:04:13 UTC, 38.348187, -61.17007, 12.3, 269, 0, 
351047000, 2020 Sep 01 10:21:43 UTC, 38.350572, -60.984402, 12.2, 267, 0, 
351047000, 2020 Sep 01 09:03:01 UTC, 38.351945, -60.654252, 11.7, 269, 0, 
351047000, 2020 Sep 01 08:07:02 UTC, 38.349578, -60.425463, 11.6, 270, 0, 
351047000, 2020 Sep 01 07:28:12 UTC, 38.347343, -60.266622, 11.8, 272, 0, 
351047000, 2020 Sep 01 06:16:32 UTC, 38.341387, -59.969173, 11.8, 274, 0, 
351047000, 2020 Sep 01 05:01:33 UTC, 38.345603, -59.656863, 11.7, 270, 0, 
351047000, 2020 Sep 01 03:49:13 UTC, 38.35033, -59.360493, 11.4, 263, 0, 
351047000, 2020 Sep 01 02:08:03 UTC, 38.392437, -58.965363, 10.8, 267, 0, 
351047000, 2020 Sep 01 01:31:53 UTC, 38.409092, -58.829583, 11.1, 265, 0, 
351047000, 2020 Aug 31 23:50:41 UTC, 38.448275, -58.44706, 10.9, 271, 0, 
351047000, 2020 Aug 31 22:03:12 UTC, 38.504, -58.025998, 11.5, 255, 0, 
351047000, 2020 Aug 31 21:31:43 UTC, 38.52254, -57.898095, 12, 254, 0, 
351047000, 2020 Aug 31 20:12:51 UTC, 38.559757, -57.577917, 11.2, 256, 0, 
351047000, 2020 Aug 31 19:16:22 UTC, 38.58135, -57.35905, 10.7, 260, 0, 
351047000, 2020 Aug 31 18:22:11 UTC, 38.601742, -57.167583, 10.1, 261, 0, 
351047000, 2020 Aug 31 16:08:12 UTC, 38.65121, -56.779275, 8.2, 261, 0, 
351047000, 2020 Aug 31 15:41:33 UTC, 38.659925, -56.710003, 7, 260, 0, 
351047000, 2020 Aug 31 11:19:48 UTC, 38.73042, -56.090822, 7.9, 259, 0, 
351047000, 2020 Aug 31 10:30:12 UTC, 38.747622, -55.96289, 7.3, 263, 0, 
351047000, 2020 Aug 31 08:31:22 UTC, 38.78131, -55.64641, 6.9, 263, 0, 
351047000, 2020 Aug 31 07:20:22 UTC, 38.804512, -55.446685, 8.8, 263, 0, 
351047000, 2020 Aug 31 06:37:52 UTC, 38.818572, -55.312873, 9.2, 264, 0, 
351047000, 2020 Aug 31 05:30:03 UTC, 38.84808, -55.091818, 9.1, 261, 0, 
351047000, 2020 Aug 31 02:24:32 UTC, 38.917807, -54.472068, 9.8, 260, 0, 
351047000, 2020 Aug 31 01:52:03 UTC, 38.930432, -54.362132, 10, 257, 0, 
351047000, 2020 Aug 31 00:05:22 UTC, 38.980347, -53.999977, 9.9, 256, 0, 
351047000, 2020 Aug 30 23:30:52 UTC, 38.989723, -53.87912, 10.1, 256, 0, 
351047000, 2020 Aug 30 22:15:32 UTC, 39.01963, -53.599007, 10.7, 259, 0, 
351047000, 2020 Aug 30 21:06:23 UTC, 39.058718, -53.335963, 11.3, 256, 0, 
351047000, 2020 Aug 30 18:11:42 UTC, 39.129007, -52.624177, 11.6, 260, 0, 
351047000, 2020 Aug 30 17:07:02 UTC, 39.161888, -52.358768, 11.9, 260, 0, 
351047000, 2020 Aug 30 16:37:52 UTC, 39.177983, -52.236645, 11.9, 259, 0, 
351047000, 2020 Aug 30 15:54:13 UTC, 39.1993, -52.054538, 11.7, 259, 0, 
351047000, 2020 Aug 30 09:26:53 UTC, 39.385157, -50.483373, 11.8, 262, 0, 
351047000, 2020 Aug 30 08:48:13 UTC, 39.408063, -50.318492, 12.4, 262, 0, 
