MMSI,TimeOfFix,Latitude,Longitude,SOG,Heading,PortIndex,EEZ
235500000, 2025 Jul 13 13:19:32 UTC, 27.75487, -96.844568, 7.6, 297, 0, USA
235500000, 2025 Jul 13 13:17:13 UTC, 27.752265, -96.840278, 7.5, 297, 0, USA
235500000, 2025 Jul 13 13:12:13 UTC, 27.746242, -96.83069, 7.5, 299, 0, USA
235500000, 2025 Jul 13 13:06:44 UTC, 27.739318, -96.820142, 7.8, 299, 0, USA
235500000, 2025 Jul 13 13:06:28 UTC, 27.738893, -96.819492, 7.8, 299, 0, USA
235500000, 2025 Jul 13 13:01:34 UTC, 27.732817, -96.809857, 7.9, 298, 0, USA
235500000, 2025 Jul 13 12:56:33 UTC, 27.726628, -96.79977, 7.8, 298, 0, USA
235500000, 2025 Jul 13 12:56:17 UTC, 27.726223, -96.799118, 7.8, 298, 0, USA
235500000, 2025 Jul 13 12:51:14 UTC, 27.720018, -96.78917, 7.7, 299, 0, USA
235500000, 2025 Jul 13 12:46:16 UTC, 27.71421, -96.779007, 7.8, 294, 0, USA
235500000, 2025 Jul 13 12:46:13 UTC, 27.71421, -96.779007, 7.8, 294, 0, USA
235500000, 2025 Jul 13 12:41:05 UTC, 27.708412, -96.768415, 7.6, 292, 0, USA
235500000, 2025 Jul 13 12:36:08 UTC, 27.7036, -96.757837, 7.6, 288, 0, USA
235500000, 2025 Jul 13 12:36:04 UTC, 27.7036, -96.757837, 7.6, 288, 0, USA
235500000, 2025 Jul 13 12:31:03 UTC, 27.699245, -96.747077, 7.6, 286, 0, USA
235500000, 2025 Jul 13 12:25:59 UTC, 27.694723, -96.736027, 7.6, 286, 0, USA
235500000, 2025 Jul 13 12:25:34 UTC, 27.694442, -96.735353, 7.6, 286, 0, USA
235500000, 2025 Jul 13 12:20:24 UTC, 27.689922, -96.724378, 7.4, 286, 0, USA
235500000, 2025 Jul 13 12:15:58 UTC, 27.686098, -96.714858, 7.3, 285, 0, USA
235500000, 2025 Jul 13 12:15:24 UTC, 27.685677, -96.71383, 7.4, 286, 0, USA
235500000, 2025 Jul 13 12:10:23 UTC, 27.681668, -96.70336, 7.1, 282, 0, USA
235500000, 2025 Jul 13 12:05:46 UTC, 27.678038, -96.693923, 7.2, 284, 0, USA
235500000, 2025 Jul 13 12:05:14 UTC, 27.6776, -96.692903, 7.2, 285, 0, USA
